组织名称,项目计划,公司方向,公众号名称,公众号链接
成都馋爱善食餐饮管理社会企业有限公司,2021社企助力计划一期,残疾人就业,,
四川城村科技有限公司,2021社企助力计划一期,社区营造,,
深圳启明无障碍科技有限公司,2021社企助力计划一期,借助AI和远程志愿者帮助盲人识别图像和出行。,,
深圳市人人壮科技有限公司,2021社企助力计划一期,智慧养老,,
云池网络科技(上海)有限公司,2021社企助力计划一期,养老服务,,
北京明天美好咨询服务有限公司（ABC美好社会咨询社）,2021社企助力计划一期,能力建设、青年成长,,
惠州市惠民社会工作服务中心,2021社企助力计划一期,公益早教、家庭教育,,
四川柯普睿特农业咨询有限责任公司,2021社企助力计划一期,农民合作社,,
成都雪山明珠商贸有限公司,2021社企助力计划一期,三农领域,,
深圳星萌成长教育有限公司,2021社企助力计划一期,儿童读写障碍,,
上海千简网络科技有限公司&上海徐汇区欢乐书乡社区阅读公益服务中心,2021社企助力计划一期,社区图书馆建设和运营,,
正道易行（北京）科技有限公司,2021社企助力计划一期,为政府和社会组织提供技术服务,,
四川荣养健康科技有限公司,2021社企助力计划一期,健康领域中的体重管理。具体为：为三甲医院提供减重服务，向医生转介而来的围治疗期超重/肥胖患者提供以膳食运动指导和功能性食品为主要手段的生活方式干预与健康管理；联合社工组织，在成都市多个社区开展健康教育和健康管理的志愿服务，如武侯玉东社区的“糖友会”糖尿病慢病小组项目，吉福社区的“智慧妈妈”亲子饮食教育项目等。 2020年第五届全国青年志愿者项目大赛获国赛银奖1项，省赛金奖、银奖各1项。 21年拟投入5万元，在四川省红十字基金会设立儿童成长基金和生殖健康基金，预计10月完成基金设立工作。,,
四川省依然旅行社有限责任公司,2021社企助力计划一期,残障人士无障碍旅游模式研发与应用：无障碍倡导、无障碍旅游、无障碍手册,,
成都市未来视点信息科技有限公司,2021社企助力计划一期,智慧社区、数据标注,,
四川璧琥工场企业管理有限公司,2021社企助力计划一期,助残，残疾人就创业,,
四川一二三圆梦科技有限公司,2021社企助力计划一期,弱势人群的人力资源服务,,
成都田园公社文化传播有限公司,2021社企助力计划一期,民非：老种子濒危农作物传承；社企：安全餐桌微电商服务,,
东莞市正念教育咨询有限公司,2021社企助力计划一期,残疾儿童/少年康复服务,,
东莞市世纪东江公益服务中心,2021社企助力计划一期,青少年性教育及心理健康,,
江门市蓬江区伍威权庇护工场,2021社企助力计划一期,身心障碍者 就业支持,,
惠州市艺博社会工作服务中心,2021社企助力计划一期,家庭教育（家长成长，婚姻关系，亲子关系）,,
惠州市正轩社会工作服务中心,2021社企助力计划一期,全人健康服务,,
深圳市绿典环保促进中心,2021社企助力计划一期,垃圾分类，环境保护,,
广州百童教育科技有限公司,2021社企助力计划一期,3-12岁儿童及其家庭,,
游猪生态（注册名：深圳绿色影响力信息咨询有限公司）,2021社企助力计划一期,国际发展,,
出色伙伴,2021社企助力计划一期,性少数、家庭建设、社会融合,,
上海萌逗食育幼教用品有限公司,2021社企助力计划一期,儿童食育领域探索了6年时间，从C端社区商场店铺开始，创立“萌逗有机厨房”品牌从事有机儿童烘焙亲子DIY，属于儿童游乐业，前后自营开店近10家；后逐渐转型至B端服务即原来业务的整体输出大企业；疫情后结束C端店铺业务，专注开发幼儿园食育课程，这部分属于幼儿教育领域。现已完成幼儿园小中大班所有食育课件及配套的开发，并开始在幼儿园试点和销售。,,
上海无奇不游旅游咨询有限公司,2021社企助力计划一期,社会创新教育，社会价值倡导,,
上海福晞康乐活动发展中心,2021社企助力计划一期,为老服务,,
博思医生集团（深圳）有限公司,2022-2023社企助力计划二期（社区民生）,养老健康，其他: 向社区提供乳腺癌筛查服务,,
成都肥收环保科技社会企业有限公司,2022-2023社企助力计划二期（社区民生）,绿色环保,,
深圳市壹点爱餐饮管理文化有限公司,2022-2023社企助力计划二期（社区民生）,其他: 罕见病患者群体社会融入 残障服务,,
上海羽之爱体育有限公司,2022-2023社企助力计划二期（社区民生）,儿童成长 残障服务,,
杭州银杉健康科技有限公司（恒星乐乐）,2022-2023社企助力计划二期（社区民生）,儿童成长，残障服务,,
广州一公斤盒子设计有限公司,2022-2023社企助力计划二期（社区民生）,儿童成长,,
成都颐成和居民服务有限公司,2022-2023社企助力计划二期（社区民生）,养老健康 惠民到家,,
